nome,matrícula,curso
Ana,MAT3226,Medicina
Pedro,MAT1555,Economia
Gabriel,MAT1584,Economia
Ana,MAT3818,Engenharia
Lucia,MAT6080,Ciências da Computação
Julia,MAT7691,Engenharia
Fernanda,MAT8642,Ciências da Computação
Lucia,MAT6297,Medicina
Maria,MAT2749,Economia
João,MAT1195,Administração
Gabriel,MAT7163,Administração
João,MAT7196,Administração
Carlos,MAT2160,Ciências da Computação
Julia,MAT6618,Economia
Gabriel,MAT2273,Medicina
Fernanda,MAT7805,Economia
João,MAT2704,Economia
Pedro,MAT6618,Engenharia
Lucia,MAT5016,Engenharia
Julia,MAT8109,Engenharia
Pedro,MAT2235,Administração
Gabriel,MAT2448,Ciências da Computação
Rafael,MAT8001,Administração
Gabriel,MAT4793,Administração
Maria,MAT7720,Economia
Julia,MAT8193,Administração
Julia,MAT6681,Economia
Rafael,MAT9267,Ciências da Computação
Gabriel,MAT5334,Medicina
Ana,MAT3102,Administração
Fernanda,MAT3493,Ciências da Computação
Pedro,MAT5956,Administração
Carlos,MAT3195,Economia
João,MAT8912,Medicina
Gabriel,MAT9166,Ciências da Computação
Carlos,MAT9967,Ciências da Computação
Pedro,MAT3077,Engenharia
Ana,MAT9930,Engenharia
Carlos,MAT7154,Medicina
Pedro,MAT5144,Economia
Ana,MAT3740,Ciências da Computação
Ana,MAT7556,Economia
Fernanda,MAT8348,Engenharia
Carlos,MAT2104,Administração
Fernanda,MAT8753,Engenharia
Lucia,MAT2887,Ciências da Computação
João,MAT7568,Economia
Julia,MAT4361,Economia
Pedro,MAT6412,Ciências da Computação
Lucia,MAT7210,Engenharia
Julia,MAT4227,Ciências da Computação
Rafael,MAT8989,Medicina
Rafael,MAT6034,Economia
João,MAT8578,Engenharia
Julia,MAT5509,Administração
Pedro,MAT6865,Ciências da Computação
Julia,MAT8279,Ciências da Computação
Carlos,MAT8954,Administração
Gabriel,MAT4761,Engenharia
Maria,MAT6225,Engenharia
Julia,MAT5411,Engenharia
Fernanda,MAT4594,Medicina
Ana,MAT9151,Administração
Julia,MAT9274,Medicina
Ana,MAT2233,Engenharia
Rafael,MAT4821,Ciências da Computação
Fernanda,MAT1572,Administração
Lucia,MAT5126,Ciências da Computação
João,MAT9804,Engenharia
João,MAT8890,Economia
Rafael,MAT9384,Economia
Pedro,MAT1010,Ciências da Computação
Maria,MAT2046,Engenharia
Maria,MAT5596,Medicina
Julia,MAT5366,Engenharia
Maria,MAT3964,Ciências da Computação
